STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MRT,WB_WDI_NY_GDP_MKTP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP (current US$),0,WB_WDI,PU,A,Annual,Mauritania,GDP (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,1.5921343020475426E8,1.642715575134733E8,1.6818629728107667E8,2.2449574386503845E8,2.5534047499782762E8,2.665336051858308E8,2.8261531021628356E8,3.1139593732295644E8,2.9506230847469574E8,3.0940531598666954E8,3.355689070519372E8,3.9166944929074574E8,4.9323787627303094E8,6.130105525007759E8,7.033778374522233E8,7.750455168277907E8,7.990300170574645E8,8.04629876848091E8,9.519009452524923E8,1.0479251055449656E9,1.1054946816319337E9,1.1087766527838864E9,1.165171263345926E9,1.0743732303627412E9,1.0097233263280795E9,1.186628778487395E9,1.3446647246899056E9,1.414951290066825E9,1.4506470191809852E9,1.5069144078204668E9,2.1336926967485716E9,2.1642984254841185E9,1.8473532113474987E9,1.9448767550070808E9,2.091726101430141E9,2.1320870092894218E9,2.0719965640529583E9,2.0323476649499302E9,1.9859227755335116E9,1.7795208864701493E9,1.7460635576135542E9,1.7770574812604308E9,2.051147606736874E9,2.3625010232424912E9,2.93601952560241E9,3.919577285927029E9,4.346212355029747E9,5.206437193804133E9,4.714595547751017E9,5.628878797982574E9,6.764627745903299E9,6.728208836221428E9,7.223071097084169E9,6.592537781815179E9,6.166863896686766E9,6.398747592131846E9,6.800135898288272E9,7.473550557073785E9,7.894764885823116E9,8.260752385230893E9,9.222536364012722E9,9.557966698253689E9,1.0726838461398693E10,1.0908045686880798E10
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SYR,WB_WDI_NY_GDP_MKTP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP (current US$),0,WB_WDI,PU,A,Annual,Syrian Arab Republic,GDP (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,8.577044134078212E8,9.452449720670391E8,1.1105658807588074E9,1.2004474083769634E9,1.3394942670157068E9,1.4720365401332946E9,1.3422875531914895E9,1.580229799426934E9,1.7537464296209228E9,2.245011514556755E9,2.1403840100723953E9,2.589851325145443E9,3.059681697612732E9,3.2394875164257555E9,5.159557147508954E9,6.826980444149817E9,7.633528866934239E9,7.696011396011396E9,9.27520045819015E9,9.92968152866242E9,1.3062420382165606E10,1.5518201335315075E10,1.629892901146811E10,1.758927714313142E10,1.750307817400395E10,1.6403539892778303E10,1.3293205278280302E10,1.1356215543304285E10,1.057704164499442E10,9.853395761632275E9,1.2308624417826809E10,1.2981833333333334E10,1.3253565861142445E10,1.3695962055477062E10,1.012202E10,1.1396706586826347E10,1.3789560878243513E10,1.4505233463035019E10,1.5200846153846153E10,1.5873875968992249E10,1.89370525434373E10,2.0237024724703926E10,2.0669357462383083E10,2.182814468603942E10,2.5086950495049503E10,2.885896551724138E10,3.3751788856304985E10,4.046531838205847E10,5.25579135689549E10,5.411173562870651E10,6.1390830874700714E10,6.753942815944738E10,4.319031803256269E10,2.1361254635051037E10,2.1502061465949757E10,1.6466863117000916E10,1.2597854877425447E10,1.6369843352345343E10,2.1497782867642567E10,2.258304506008206E10,1.2047752036091032E10,1.4353205678499138E10,2.362282707950465E10,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LMY,WB_WDI_NY_GDP_MKTP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP (current US$),0,WB_WDI,PU,A,Annual,Low & middle income,GDP (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.6602124494962827E11,2.6945855380249136E11,2.736957825369481E11,3.0355050736276495E11,3.401504189085549E11,3.756057595398487E11,3.8967130931708203E11,3.9998228350946136E11,4.240437206958139E11,4.7451087655169763E11,5.1779855782783905E11,5.56845652683818E11,6.254846589810552E11,7.974789160245308E11,1.0152013987865585E12,1.1230047049279912E12,1.2082799287925657E12,1.3565108725630283E12,1.506201220791089E12,1.7461665071131162E12,2.0631687193209192E12,2.310481365169778E12,2.2777663812138057E12,2.2068216501159443E12,2.2674602488650903E12,2.354530879715056E12,2.40456290147437E12,2.482143781544161E12,2.648573640088106E12,2.839487150072384E12,3.2634947920216743E12,3.1693824144870107E12,3.32566627003826E12,3.598961041743568E12,4.0363477074410376E12,4.678566130115998E12,5.194254625956013E12,5.514476962092245E12,5.415602499519289E12,5.213581699462513E12,5.67123961465674E12,5.681863488447159E12,5.796572765879182E12,6.490136867597505E12,7.615565811852917E12,8.995715621844562E12,1.0593347613572867E13,1.3011853510452475E13,1.5453988213684256E13,1.5495760307663889E13,1.884921631261367E13,2.2198034859579414E13,2.360025769574838E13,2.5060996541842156E13,2.623455374493225E13,2.5457289049147527E13,2.572273983684334E13,2.8123682410171246E13,2.994595060304091E13,3.0863484502772895E13,2.9882663470187863E13,3.523541768202798E13,3.696529535784751E13,3.8059330027172945E13,3.939709875361442E13
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CYP,WB_WDI_NY_GDP_MKTP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP (current US$),0,WB_WDI,PU,A,Annual,Cyprus,GDP (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,4.8991257430514646E8,5.760900737150359E8,7.348760211280491E8,9.640243644327404E8,1.2886997760505862E9,2.1543112769485903E9,2.0874963737796376E9,2.15924241676942E9,2.1603640711902113E9,2.2782489531405787E9,2.4304119001919384E9,3.090734463276836E9,3.7048138855054812E9,4.2787925972396483E9,4.563482603550296E9,5.591130217669654E9,5.770197348484848E9,6.912150456323338E9,6.590291048292109E9,7.425703928571429E9,9.933137128072445E9,1.0011914680050188E10,9.547816419612314E9,1.0248618778280542E10,1.0497907227615965E10,9.985847313854855E9,1.0397898907103825E10,1.1420228846153845E10,1.4547329558323896E10,1.732055125E10,1.843341251088173E10,2.0072754986827248E10,2.3968727073638103E10,2.7844646257506958E10,2.604817994917415E10,2.5799940077607452E10,2.7641549301656147E10,2.504743697468195E10,2.395971286083313E10,2.322591825998236E10,1.9909278416857502E10,2.104646228059786E10,2.29465706287576E10,2.5754001367544785E10,2.619666709953027E10,2.555509385429683E10,3.037264250248967E10,3.1218038929091934E10,3.507542385709961E10,3.763453333189016E10
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MAR,WB_WDI_NY_GDP_MKTP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP (current US$),0,WB_WDI,PU,A,Annual,Morocco,GDP (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.0371547419321055E9,2.0256935395584223E9,2.379611124614415E9,2.6572525783076344E9,2.798345298577806E9,2.948331090467524E9,2.8764012971075926E9,3.046345314386552E9,3.2714223326199636E9,3.6516226689510307E9,3.956336244118653E9,4.356669034342655E9,5.074117544774822E9,6.2421458800887575E9,7.675466449355309E9,8.984853005080584E9,9.584297284283165E9,1.1049783871814425E10,1.3236946233575916E10,1.5911994817310715E10,2.172851615309073E10,1.7788185478943974E10,1.7692276734170986E10,1.625140812757345E10,1.4824667954367361E10,1.4991283215740831E10,1.946208554022311E10,2.1765195948188976E10,2.5705296183503674E10,2.6314313191182552E10,3.017995477498992E10,3.2285573573918488E10,3.371106943078004E10,3.1655473663834824E10,3.56041374225796E10,3.903028546838408E10,4.3161571527635315E10,3.914784452608376E10,4.64976087249865E10,4.626642864814326E10,4.3017455401844536E10,4.383148020764445E10,4.707719218764177E10,5.802936335427568E10,6.611414545100669E10,6.885265806866728E10,7.588382330085452E10,8.694791328672797E10,1.0182290694906343E11,1.011549522408807E11,1.0086532947343983E11,1.1008063133237535E11,1.0693739231112907E11,1.157392873050801E11,1.1913084141166359E11,1.1041382384159187E11,1.1157294700491748E11,1.1854057336784428E11,1.2734114758181831E11,1.289202664094575E11,1.2135364505714369E11,1.4202205844723093E11,1.3124531280448317E11,1.4603609366676212E11,1.606109940547341E11
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BWA,WB_WDI_NY_GDP_MKTP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP (current US$),0,WB_WDI,PU,A,Annual,Botswana,GDP (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.0411413655282825E7,3.2902612866485514E7,3.564495664304291E7,3.80918428546863E7,4.161634779068649E7,4.578869633439149E7,5.146565539210832E7,5.864235408967297E7,6.6248441418246634E7,7.736154650675365E7,9.624323366098373E7,1.2744861350506146E8,1.6446091497720063E8,2.4412416404221785E8,3.060442075302034E8,3.551685715367514E8,3.720250930062732E8,4.5162478027459735E8,5.904073744471157E8,8.198702587830534E8,1.0608897037537392E9,1.0738128303005242E9,1.0149456957192708E9,1.1722303965809908E9,1.2408221674357061E9,1.1147833427153945E9,1.392602163538292E9,1.9652268900455704E9,2.6445541587279363E9,3.083822112020233E9,3.790636324447746E9,3.942876703451844E9,4.146464586616739E9,4.1601291747056947E9,4.259259604156229E9,4.730599121927042E9,4.847757217758154E9,5.020265626664892E9,4.790481509176786E9,5.484263346881052E9,5.788329609157553E9,5.489608299664453E9,5.438863982886922E9,7.511582173377239E9,8.957467706535404E9,9.918907108097015E9,9.919158482410852E9,1.0567270655502705E10,1.0730829116410507E10,1.0118459242318321E10,1.2637273429133932E10,1.511064361217291E10,1.3907464500148876E10,1.4271738933204172E10,1.547008850074136E10,1.3530748844504961E10,1.508263718404962E10,1.6105155856770824E10,1.703194318613526E10,1.6725908148548136E10,1.4960251607813454E10,1.8750182236221073E10,2.032115059915232E10,1.9411266967104416E10,1.940206351290664E10
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GMB,WB_WDI_NY_GDP_MKTP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP (current US$),0,WB_WDI,PU,A,Annual,"Gambia, The",GDP (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,4.421208135022968E7,4.669500695793745E7,4.1160065856105365E7,4.516807226891563E7,5.2296083673733875E7,5.572866322268395E7,5.9160569480441295E7,7.518774909613165E7,9.579602168882716E7,1.1517971907763307E8,1.121908294704568E8,1.380930990977397E8,1.7183308601962367E8,2.0711262772609425E8,2.41083090303623E8,2.187677434591015E8,2.1605055230158418E8,2.1344858493694514E8,1.7734088008620396E8,2.257263588909143E8,1.8564698682492676E8,2.206264842248106E8,2.6667221193416098E8,2.841203294010232E8,3.1708369547779715E8,6.903110805150175E8,7.142542561221893E8,7.550409740873225E8,7.464939519009587E8,7.859998648402995E8,8.482394462157602E8,8.036333424737065E8,8.402852646315453E8,8.14724032065735E8,7.829138718096597E8,6.874106450639434E8,5.782353093271981E8,4.8703868504549587E8,9.619006514234409E8,1.0277010675568765E9,1.0541124877408298E9,1.2797030470220978E9,1.5617669557302403E9,1.4501425085780816E9,1.5432949268730059E9,1.4096935969359355E9,1.4150047382662053E9,1.3756094534374623E9,1.2294617214086075E9,1.3781766089320412E9,1.4845788859713225E9,1.5049094626952114E9,1.6706713278165143E9,1.8136096924999352E9,1.8121708911906917E9,2.0141588421459632E9,2.20473452788096E9,2.3822621846827273E9,2.4048887492190695E9
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_NY_GDP_MKTP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP (current US$),0,WB_WDI,PU,A,Annual,"Yemen, Rep.",GDP (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.264382156896257E10,1.4665445462114904E10,1.7959367194004997E10,2.1736802664446297E10,2.801948376353039E10,1.2796345679012346E10,6.496163615660856E9,6.83829853054911E9,6.322175565946511E9,7.639325295882872E9,9.679316770186335E9,9.852990692987137E9,1.0693430511466354E10,1.177753266204989E10,1.3867634371477274E10,1.6731566717188839E10,1.906314336985798E10,2.165052867409326E10,2.6910855807288002E10,2.513027821255747E10,3.0906749533221E10,3.2726417878391018E10,3.540133160959164E10,4.041523343617665E10,4.3228585321327194E10,4.244449007385545E10,3.1317825274150734E10,2.6842229044584846E10,2.160616066303177E10,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MIC,WB_WDI_NY_GDP_MKTP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP (current US$),0,WB_WDI,PU,A,Annual,Middle income,GDP (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.5438080874611215E11,2.577162933443719E11,2.606046328692905E11,2.8712011286383527E11,3.267485637802784E11,3.5997422836205457E11,3.7323448084419867E11,3.8416843919297375E11,4.069334486583917E11,4.5471963222533997E11,4.9739477875819934E11,5.342283691117081E11,6.001610451675516E11,7.668867183769222E11,9.768157225838738E11,1.0780981049800485E12,1.16090482076072E12,1.3019170672533816E12,1.443031406577863E12,1.6783621012907932E12,1.986493674210984E12,2.231371215509137E12,2.1987503571094658E12,2.1312162156959827E12,2.1925494788024043E12,2.28295635606272E12,2.3295974500334014E12,2.403584804619798E12,2.5637035866507827E12,2.7478064445013076E12,3.1506239044026284E12,3.0447086283534023E12,3.2371072863580093E12,3.501345257040163E12,3.942384848752356E12,4.590529240161891E12,5.108551494540327E12,5.422776104608378E12,5.322192219238786E12,5.120006885011033E12,5.556546271414666E12,5.573293851565578E12,5.676642577370011E12,6.355971327725678E12,7.458787938489605E12,8.80634206645955E12,1.0373325425938629E13,1.274516255449512E13,1.5135753455448672E13,1.5187183923617207E13,1.8500106536863652E13,2.1818776039542285E13,2.3251473713360332E13,2.4703471814277156E13,2.585773681368473E13,2.509713063612688E13,2.5404351578541465E13,2.7795014626627395E13,2.9601678469854066E13,3.0509054766960977E13,2.9540859400642836E13,3.4855974285498766E13,3.652876775817779E13,3.762234961894627E13,3.892570937301766E13
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,THA,WB_WDI_NY_GDP_MKTP_CD,_T,_T,_T,USD,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP (current US$),0,WB_WDI,PU,A,Annual,Thailand,GDP (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.760750860621967E9,3.0340378109679537E9,3.308912796934866E9,3.5404034565530486E9,3.889129942307692E9,4.388937649038462E9,5.279230817307693E9,5.638461442307693E9,6.081009427884615E9,6.695336567307693E9,7.0865384375E9,7.375000024038462E9,8.177873151042242E9,1.083858735774659E10,1.3702998512449238E10,1.4882770593979597E10,1.6985208648211235E10,1.977931226131554E10,2.40065666366855E10,2.7371650824509174E10,3.2353514988728706E10,3.484603919361307E10,3.658977240375658E10,4.004279838849509E10,4.1797647775623795E10,3.89007113325373E10,4.30967739808569E10,5.0535446554876854E10,6.166725347137359E10,7.225074809997617E10,8.534319071901065E10,9.823471497106122E10,1.1145274651765535E11,1.2888926295115672E11,1.46683778959101E11,1.6927891659284286E11,1.8303523742928085E11,1.5018045656572845E11,1.136755967877377E11,1.2666921177894038E11,1.2639222425379382E11,1.2029647618040192E11,1.3430090440002177E11,1.5228061524588742E11,1.7289568515465817E11,1.893184084685952E11,2.2175829602162064E11,2.6294262145505292E11,2.913829824309515E11,2.817106301873191E11,3.411047663291696E11,3.7081873962362195E11,3.975583252785791E11,4.2033365459254706E11,4.0733904019765125E11,4.012962382280839E11,4.133663497475081E11,4.563568135367637E11,5.067542084044847E11,5.4397669179388586E11,5.0046189848024554E11,5.061946687899366E11,4.956446975876605E11,5.159062839409326E11,5.265176588416837E11
